try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,r_star,d_star,omega_star,rF,psi,phi2,r_implied,lambda_star,f_star,Z_star,phi1_fixed,e_star,c1,c2,c3,H,maxReEig,maxImEig,stable,RH_ok,has_complex,reason,n_roots,rF_root_med,rF_root_p25,rF_root_p75,has_hopf,pen_omega,pen_sigma,pen_lambda,pen_hopf,pen_dist,pen_e_star,pen_RH,pen_cx,score
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.02,10,3,0.13979741561574782,0.7681642011121822,5.790055429272915,0.9999999999999354,3.215902724070475,0.9453022248608246,0.0767439262202142,0.7281868362586194,0.05825494690093939,-0.00237103006457671,0.00161386277632372,0.8534883468738593,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.2681642011121822,10,1,0,0,0,67.5730892334607
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,20,0.5,0.13979741561574782,0.7587700817033393,5.496524706474655,0.999999999999324,0.6793703674338758,0.794853626070497,0.07715093537278168,0.12935527409087424,0.01034842192793022,-3.685415364167253e-4,0.00135758870005303,0.3599587222283009,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.25877008170333926,10,1,0,0,0,67.57447781418583
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,20,1,0.13979741561574782,0.7587700817033393,5.496524706474655,0.999999999999324,1.1074388225562872,0.9391037941027796,0.07715093526782313,0.24912867602625155,0.0199302940834207,-7.097837259608872e-4,0.00138891529343353,0.49934835086452545,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.25877008170333926,10,1,0,0,0,67.57447781418583
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,20,1.5,0.13979741561574782,0.7587700817033393,5.496524706474655,0.999999999999324,1.4756902644410732,1.043579426596184,0.07715093516286457,0.3689020779616288,0.02951216623891117,-0.00105102594064753,0.0014002689300616,0.6075557787855577,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.25877008170333926,10,1,0,0,0,67.57447781418583
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,20,2,0.13979741561574782,0.7587700817033393,5.496524706474655,0.999999999999324,2.3066632869187744,0.8843943594054713,0.07715093505790602,0.48867547989700616,0.03909403839440165,-0.00139226818047667,0.0014061338024576,0.6992126862473032,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.25877008170333926,10,1,0,0,0,67.57447781418583
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,20,2.5,0.13979741561574782,0.7587700817033393,5.496524706474655,0.999999999999324,2.740694418898784,0.9267724203338537,0.07715093495294746,0.6084488818323834,0.04867591054989211,-0.00173351044544828,0.00140971534836778,0.7801745736940945,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.25877008170333926,10,1,0,0,0,67.57447781418583
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,20,3,0.13979741561574782,0.7587700817033393,5.496524706474655,0.999999999999324,3.2320174625143414,0.9405889773977304,0.0771509348479889,0.7282222837677608,0.05825778270538259,-0.00207475273556239,0.00141212973584986,0.8534905742639625,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.25877008170333926,10,1,0,0,0,67.57447781418583
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,15,0.5,0.1397974156157478,0.74019094594269,4.9785015037494755,0.9999999999573784,0.6036619787337258,0.894540353711563,0.07796494902128721,0.129367866922495,0.01034942938438241,-2.632702347774227e-4,9.696694875705666e-4,0.35989149498643647,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.017409595521673,0.1499999999999999,0.24019094594268997,10,1,0,0,0,67.57750589930461
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,15,1,0.1397974156157478,0.74019094594269,4.9785015037494755,0.9999999999573784,1.099527242849581,0.9458610568502792,0.07796494412990283,0.24915292885907256,0.01993223436989144,-5.070401915921972e-4,9.920769608923463e-4,0.4993100999968044,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.017409595521673,0.1499999999999999,0.24019094594268997,10,1,0,0,0,67.57750589930461
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,15,1.5,0.1397974156157478,0.74019094594269,4.9785015037494755,0.9999999999573784,1.5913567369803787,0.9677277031284882,0.07796493923851844,0.36893799079565015,0.02951503935540047,-7.508113202365392e-4,0.00100019506818982,0.607533498880193,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.017409595521673,0.1499999999999999,0.24019094594268997,10,1,0,0,0,67.57750589930461
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,15,2,0.1397974156157478,0.74019094594269,4.9785015037494755,0.9999999999573784,2.1717185023240746,0.9393482616331912,0.07796493434713404,0.48872305273222766,0.03909784434090949,-9.945836207104347e-4,0.00100438877057809,0.6992014683421004,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.017409595521673,0.1499999999999999,0.24019094594268997,10,1,0,0,0,67.57750589930461
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,15,2.5,0.1397974156157478,0.74019094594269,4.9785015037494755,0.9999999999573784,2.6401283303042877,0.962074445676926,0.07796492945574966,0.6085081146688052,0.04868064932641852,-0.00123835709301389,0.00100695037517634,0.7801718850009347,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.017409595521673,0.1499999999999999,0.24019094594268997,10,1,0,0,0,67.57750589930461
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,15,3,0.1397974156157478,0.74019094594269,4.9785015037494755,0.9999999999573784,3.4566202491289006,0.8794717905845291,0.07796492456436527,0.728293176605383,0.05826345431192754,-0.0014821317371469,0.00100867784214922,0.8534948809934929,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.017409595521673,0.1499999999999999,0.24019094594268997,10,1,0,0,0,67.57750589930461
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.05749999999999999,15,0.5,0.13979741561574782,0.7745984406479737,6.005219110610462,0.9999999999999885,0.5630948014324532,0.9589859445093292,0.07674392625867645,0.12934897749374358,0.01034791819950952,-4.211698090944658e-4,0.0015515611410479,0.35999214617440706,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.2745984406479737,10,1,0,0,0,67.58081032090365
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.05749999999999999,15,1,0.13979741561574782,0.7745984406479737,6.005219110610462,0.9999999999999885,1.065178889431991,0.9763618208342176,0.07674392625707831,0.24911654924720045,0.0199293239397961,-8.111418549511321e-4,0.00158733980315101,0.4993673453157988,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.2745984406479737,10,1,0,0,0,67.58081032090365
