try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,phi1_calib_ok,phi1_calib_reason,econ_ok,reason,omega_gap,lam_mid,e_gap
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.06999999999999999,20,1,0.801540159641676,7.057677426565586,1,1.1056963864015417,0.9405837016295687,TRUE,ok,TRUE,ok,3.4819191043344855e-4,0.301540159641676,5.83701629568778e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.0325,20,1.5,0.8781507681769949,11.823912591595565,1,1.637259709229693,0.9405960406394828,TRUE,ok,TRUE,ok,0.035133986658060334,0.3781507681769949,5.960406394828199e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.0325,20,2.5,0.8781507681769949,11.823912591595565,1,2.703846603794955,0.9394024041286256,TRUE,ok,TRUE,ok,0.035133986658060334,0.3781507681769949,5.975958713743124e-4
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.12,15,1,0.5364350579552162,2.1446670855681904,0.774438575536133,0.8669854637002573,0.9393912696761301,TRUE,ok,TRUE,ok,0.025428676465797606,0.03643505795521618,6.087303238698771e-4
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.095,20,1.5,0.6670039543639891,3.7122964537585723,0.9999989582221378,1.639384393929504,0.9393760505685459,TRUE,ok,TRUE,ok,0.025428676465797606,0.16700395436398907,6.239494314540517e-4
384,4,2.35,0.08,0.04,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6812792630240438,0.0325,15,1,0.8147651398730988,7.2164671338231985,1,1.1071207844652238,0.9393735666360511,TRUE,ok,TRUE,ok,0.031279263024043824,0.31476513987309884,6.264333639488529e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.057499999999999996,5,2.5,0.5911589434116165,2.3722730920680863,0.9935296733912695,2.6867462881607937,0.9393608151984653,TRUE,ok,TRUE,ok,0.035133986658060334,0.09115894341161646,6.391848015346868e-4
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.095,20,3,0.6670039543639891,3.7122964537585723,0.9999989582221378,3.236262227362022,0.9393543109590379,TRUE,ok,TRUE,ok,0.0253334150289537,0.16700395436398907,6.456890409620719e-4
384,4,2.35,0.08,0.04,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6812792630240438,0.06999999999999999,15,1.5,0.7147925123124363,4.11181902808765,0.9999999941123261,1.6371303231455387,0.9406703726613371,TRUE,ok,TRUE,ok,0.031279263024043824,0.21479251231243635,6.703726613371819e-4
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.1075,10,1.5,0.5800489052990447,2.4136542002972203,0.9664268736365648,1.5835888806730511,0.9406736360902748,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.08004890529904474,6.736360902748206e-4
372,3,2.35,0.08,0.035,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6825641709020493,0.045,10,1.5,0.7031862406990442,3.8868810962278872,0.999999964399331,1.6371142083546149,0.9406796048436822,TRUE,ok,TRUE,ok,0.03256417090204933,0.20318624069904423,6.796048436822355e-4
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.045,10,1,0.7207075820201487,4.509299702344584,0.9999999981811178,1.1055743486620488,0.9406875253932147,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.22070758202014873,6.875253932147052e-4
